"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000006998","ENSMUSG00000006998","Psmd2",0.0165313420536002,8.49691641411099,0.115644325621095,0.90894491474755,0.991432429581756,-7.22513895609932
"ENSMUSG00000022760","ENSMUSG00000022760","Thap7",-0.0224053981730501,5.78570648885242,-0.11560579188205,0.908975114336905,0.991432429581756,-6.71614503247438
"ENSMUSG00000018378","ENSMUSG00000018378","Cuedc1",-0.078233807087827,1.92818544439193,-0.11548977563958,0.909066039214983,0.991432429581756,-5.44397049801831
"ENSMUSG00000021143","ENSMUSG00000021143","Pacs2",-0.0434205452934515,5.130966179463,-0.115474302439172,0.909078166051514,0.991432429581756,-6.16826440952902
"ENSMUSG00000023284","ENSMUSG00000023284","Zfp605",-0.128571977455949,1.29622422835363,-0.11544481800235,0.909101273999722,0.991432429581756,-5.43567202891481
"ENSMUSG00000024151","ENSMUSG00000024151","Msh2",-0.0511957942786987,5.71542268186461,-0.115425440502705,0.909116460844849,0.991432429581756,-6.48345774621062
"ENSMUSG00000042385","ENSMUSG00000042385","Gzmk",0.117349118039702,0.0638199330865325,0.115376324866647,0.909154954698409,0.991432429581756,-5.44193088606627
"ENSMUSG00000017418","ENSMUSG00000017418","Arl5b",-0.0419354688252334,4.00825312800434,-0.115218713585816,0.909278482387442,0.991432429581756,-6.00565592246671
"ENSMUSG00000000056","ENSMUSG00000000056","Narf",-0.102350250148302,3.36564210167264,-0.115073465783617,0.90939232228406,0.991432429581756,-5.46822036728232
"ENSMUSG00000020605","ENSMUSG00000020605","Hs1bp3",0.103979297298307,1.94855792226456,0.114893113420645,0.909533678609208,0.991432429581756,-5.43222379459664
"ENSMUSG00000027654","ENSMUSG00000027654","Fam83d",0.113328244998356,1.46025076682907,0.114700169769252,0.909684907099816,0.991432429581756,-5.49201315846547
"ENSMUSG00000055660","ENSMUSG00000055660","Mettl4",-0.056362878594336,3.85996327654752,-0.11456836557842,0.909788216724257,0.991432429581756,-6.08919286742665
"ENSMUSG00000037787","ENSMUSG00000037787","Apopt1",0.0358574415160122,5.1197690668088,0.114548967415498,0.909803421362493,0.991432429581756,-6.23042409851528
"ENSMUSG00000050921","ENSMUSG00000050921","P2ry10",-0.0547074226526769,5.64446045234761,-0.114419907809435,0.909904581561472,0.991432429581756,-6.06503266071213
"ENSMUSG00000027579","ENSMUSG00000027579","Srms",0.0710003440014801,0.100391040205881,0.11441943172678,0.909904954730041,0.991432429581756,-5.71701575517437
"ENSMUSG00000044715","ENSMUSG00000044715","Gskip",-0.0304837466551371,5.6333418867864,-0.114323383180449,0.9099802410373,0.991432429581756,-6.52649829674913
"ENSMUSG00000043068","ENSMUSG00000043068","Fam89a",0.10857782770209,1.01650829781368,0.114313255912705,0.909988179204493,0.991432429581756,-5.44517272562721
"ENSMUSG00000014361","ENSMUSG00000014361","Mertk",0.0710003440014799,0.235430141470254,0.114165399780313,0.910104075987393,0.991432429581756,-5.71704286790373
"ENSMUSG00000040025","ENSMUSG00000040025","Ythdf2",-0.0145179703104965,7.53553153929298,-0.114066830158361,0.91018134075518,0.991432429581756,-7.08966585850605
"ENSMUSG00000072640","ENSMUSG00000072640","Lyrm9",-0.0388321168769474,4.08088770350546,-0.114064450404896,0.91018320615955,0.991432429581756,-6.11444839961464
"ENSMUSG00000037062","ENSMUSG00000037062","Sh3glb1",0.0205498049630588,7.22925528316845,0.113827014763605,0.910369326194437,0.991432429581756,-6.91051089066156
"ENSMUSG00000024960","ENSMUSG00000024960","Plcb3",-0.0632678914182092,3.91416748899575,-0.113797594906222,0.910392388072,0.991432429581756,-6.01279719204198
"ENSMUSG00000032743","ENSMUSG00000032743","D430042O09Rik",-0.122357794973734,1.9559546596653,-0.113708577813654,0.91046216800643,0.991432429581756,-5.48282084637431
