"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000053164","ENSMUSG00000053164","Gpr21",0.228011904634132,-0.522348373574712,0.361757769762168,0.720857510974527,0.982914618375091,-5.68420001509659
"ENSMUSG00000024668","ENSMUSG00000024668","Sdhaf2",0.0940493891762983,6.30522853658484,0.361498011074814,0.721049026228269,0.982914618375091,-6.66625315375586
"ENSMUSG00000029616","ENSMUSG00000029616","Erp29",-0.0903889290442521,6.53687263846873,-0.361345457236261,0.721161510039424,0.982914618375091,-6.71245019071251
"ENSMUSG00000070427","ENSMUSG00000070427","Il18bp",0.374948294831145,2.02368114901645,0.361329794715172,0.721173058982794,0.982914618375091,-5.44580411963643
"ENSMUSG00000028639","ENSMUSG00000028639","Ybx1",0.0426707386608864,9.16637289449677,0.361225422308278,0.721250020931468,0.982914618375091,-7.1012346370511
"ENSMUSG00000023345","ENSMUSG00000023345","Poc1a",0.271148974658463,2.47187303444979,0.360964122888629,0.72144271066062,0.982914618375091,-5.52071505735193
"ENSMUSG00000002395","ENSMUSG00000002395","Use1",-0.0778081047692112,7.01575397859609,-0.360943877010445,0.72145764134273,0.982914618375091,-6.86420415880414
"ENSMUSG00000035273","ENSMUSG00000035273","Hpse",-0.410757281929889,0.661736034829244,-0.36093281866765,0.72146579656166,0.982914618375091,-5.41047280577742
"ENSMUSG00000017264","ENSMUSG00000017264","Exosc10",-0.0883468495857729,7.34834573460456,-0.360891223948994,0.721496471807353,0.982914618375091,-6.80209956936355
"ENSMUSG00000004099","ENSMUSG00000004099","Dnmt1",0.0707562324511581,6.72507769450948,0.360854092482073,0.721523855900836,0.982914618375091,-6.86495295439653
"ENSMUSG00000037148","ENSMUSG00000037148","Arhgap10",0.194113817086169,3.09692544830064,0.360510245250954,0.721777457955567,0.982914618375091,-5.73722434891911
"ENSMUSG00000032086","ENSMUSG00000032086","Bace1",0.252417430305157,1.81701285547422,0.360480615418498,0.721799312752976,0.982914618375091,-5.51410588261519
"ENSMUSG00000030452","ENSMUSG00000030452","Nipa2",0.17785804072375,4.55255718710668,0.360457051687103,0.721816693401383,0.982914618375091,-5.93911322697158
"ENSMUSG00000075415","ENSMUSG00000075415","Fnbp1",-0.0675886874381595,7.40379446790501,-0.360276652658871,0.721949761107832,0.982914618375091,-6.97657997698009
"ENSMUSG00000031953","ENSMUSG00000031953","Tmem170",0.333281160575258,0.657854874856634,0.360265055319459,0.721958315958579,0.982914618375091,-5.43438658988486
"ENSMUSG00000033767","ENSMUSG00000033767","Tmem131l",0.079706350855866,6.11158667091952,0.359867467839351,0.722251621306302,0.982914618375091,-6.67002973983171
"ENSMUSG00000030870","ENSMUSG00000030870","Ubfd1",0.117621630091393,6.36926822951802,0.359809996780896,0.722294022042331,0.982914618375091,-6.38706069402978
"ENSMUSG00000047996","ENSMUSG00000047996","Prrg1",-0.207393692156498,1.22761190991697,-0.359744959931079,0.722342005731089,0.982914618375091,-5.62604153010063
"ENSMUSG00000040713","ENSMUSG00000040713","Creg1",0.107463502479034,6.34504721852247,0.35966951487056,0.722397669977675,0.982914618375091,-6.57227350605534
"ENSMUSG00000018428","ENSMUSG00000018428","Akap1",-0.390114186494528,2.84969213757796,-0.359447935270686,0.722561163056292,0.982914618375091,-5.42702693700943
