"","Har24hVsNaive_unique","NoHar24hVsNaive_unique","Har24hVsNaive_NoHar24hVsNaive_intersection"
"357","Mapk8","Taf4","Dennd1c"
"358","Polrmt","Ufsp1","Ppif"
"359","Rps6ka3","Dlg2","Ftsj3"
"360","Zdhhc17","Tspoap1","Lgals3bp"
"361","Sh3tc1","Etfrf1","Sdhd"
"362","Trim32","Kmt5c","Ndc1"
"363","Rdh12","Atxn1","Mogs"
"364","Fam8a1","Nek1","Selenop"
"365","Sirt5","Fndc10","Tspan3"
"366","Ptpn23","Ermard","Adsl"
"367","Borcs6","Rundc3b","Kpna3"
"368","Jag2","Fam98b","Yars"
"369","Zfp385a","Rwdd3","Chd3"
"370","Zswim6","Cxcl5","Tkt"
"371","Ddit4","Mxi1","Pin1"
"372","Slc39a13","Fam241a","Kbtbd2"
"373","Slc12a9","2810021J22Rik","Pdcd1"
"374","Peak1","Alg11","Cd3d"
"375","Rrm2b","Zdhhc12","Pwp1"
"376","Polm","Phc1","Eif2b1"
"377","Tmem120b","1700102P08Rik","Metap1"
"378","Mettl25","Pkp4","Hspa4"
"379","Elac1","Ankzf1","Btla"
"380","Lrrc1","Lancl3","Zmynd19"
"381","Rad52","Mtr","Dok2"
"382","Styk1","Cdh23","Tsfm"
"383","Dennd4c","Atr","Ppid"
"384","Zdhhc15","Usp19","Nudc"
"385","Gad1","Ulk1","Ezr"
"386","Mast4","Nacad","Cul2"
"387","Pcx","Rad54l2","Ablim1"
"388","Amacr","Alkbh4","Itm2c"
"389","Tlr2","Epn1","Adcy7"
"390","Iba57","Nfic","Ankrd44"
"391","Nadsyn1","Lzts2","Znrf1"
"392","Lysmd1","Golga2","Ciapin1"
"393","4931428F04Rik","Tbc1d23","Ahsa1"
"394","Sik2","Itpr1","Abce1"
"395","Cpt1c","Zfp317","Irs2"
"396","Frmd4a","Ppp1r21","Als2cl"
"397","Pias3","Chn2","Xbp1"
"398","Pkib","Chac2","Pmpca"
"399","Rdh13","Zfp408","Txn2"
"400","Slc43a2","Zbtb18","Eno1"
"401","Tmem158","Gak","Slc28a2"
"402","Ifitm1","Ythdc2","Mrps6"
