"","HarVsNoHar5h_unique","NoHar5hVsNaive_unique","HarVsNoHar5h_NoHar5hVsNaive_intersection"
"582",NA,"Eif4h",NA
"583",NA,"Ppcdc",NA
"584",NA,"Gnl3",NA
"585",NA,"Ddx27",NA
"586",NA,"Cdca7",NA
"587",NA,"Cdkn2d",NA
"588",NA,"Pcyt2",NA
"589",NA,"Ripk3",NA
"590",NA,"Ppif",NA
"591",NA,"Txn2",NA
"592",NA,"Tm9sf3",NA
"593",NA,"2210016F16Rik",NA
"594",NA,"Utp6",NA
"595",NA,"Card11",NA
"596",NA,"Klhl6",NA
"597",NA,"Tfdp1",NA
"598",NA,"Rcc2",NA
"599",NA,"Set",NA
"600",NA,"Myo1g",NA
"601",NA,"Cirbp",NA
"602",NA,"Hmgb2",NA
"603",NA,"Eif2b5",NA
"604",NA,"Irf7",NA
"605",NA,"Rasal3",NA
"606",NA,"Ntmt1",NA
"607",NA,"Ctu2",NA
"608",NA,"Ltv1",NA
"609",NA,"Ddx28",NA
"610",NA,"Fkbp4",NA
"611",NA,"Jak1",NA
"612",NA,"Glrx3",NA
"613",NA,"Polr1c",NA
"614",NA,"Fdft1",NA
"615",NA,"Srsf2",NA
"616",NA,"Macf1",NA
"617",NA,"Ciapin1",NA
"618",NA,"Pdlim2",NA
"619",NA,"Rigi",NA
"620",NA,"Hspbp1",NA
"621",NA,"Dph2",NA
"622",NA,"Rtn3",NA
"623",NA,"Aen",NA
"624",NA,"Hspa4l",NA
"625",NA,"Snrpb",NA
"626",NA,"Uck2",NA
"627",NA,"Arid1a",NA
"628",NA,"Slc39a6",NA
"629",NA,"Nme1",NA
"630",NA,"P2ry10",NA
"631",NA,"Il21",NA
"632",NA,"Dnajb4",NA
"633",NA,"Tmem71",NA
"634",NA,"Stk4",NA
"635",NA,"Ifi209",NA
"636",NA,"Mrtfa",NA
"637",NA,"Akap8l",NA
"638",NA,"Setx",NA
"639",NA,"Lyar",NA
"640",NA,"Flna",NA
"641",NA,"Cpm",NA
"642",NA,"Cdc16",NA
"643",NA,"Vipr1",NA
"644",NA,"Klhdc3",NA
"645",NA,"Clip1",NA
"646",NA,"Prmt7",NA
"647",NA,"Hspa4",NA
"648",NA,"Treml2",NA
"649",NA,"Rrp8",NA
"650",NA,"Pck2",NA
"651",NA,"Phf5a",NA
"652",NA,"Ssbp3",NA
"653",NA,"Tbc1d1",NA
"654",NA,"Ppid",NA
"655",NA,"Cd247",NA
"656",NA,"Dok2",NA
"657",NA,"Kmt2c",NA
"658",NA,"Ppp1r11",NA
"659",NA,"Stat3",NA
"660",NA,"Got1",NA
"661",NA,"Ddost",NA
"662",NA,"Frmd4b",NA
"663",NA,"Mppe1",NA
"664",NA,"Sdad1",NA
"665",NA,"Csk",NA
"666",NA,"Tgfbr3",NA
"667",NA,"Ift80",NA
"668",NA,"Eea1",NA
"669",NA,"Spata6",NA
"670",NA,"R3hdm4",NA
"671",NA,"P4hb",NA
"672",NA,"Lmbr1l",NA
